foveation,distance,a_acc,a_conf_correct,a_conf_incorrect,a_acc_std,a_conf_correct_std,a_conf_incorrect_std,ax_acc,ax_acc_std,ax_conf_correct,ax_conf_correct_std,ax_conf_incorrect,ax_conf_incorrect_std,xax_acc,xax_acc_std,xax_conf_correct,xax_conf_correct_std,xax_conf_incorrect,xax_conf_incorrect_std
blur-light,5,0.286,0.6174206414579094,0.27407839756031166,0.0,0.0,0.0,0.2742,0.0036453928305312873,0.5881684050416947,0.005747024599355558,0.2560645363563467,0.0021509994749545273,0.24330000000000002,0.008219894565422763,0.5756475148644337,0.013160373266479392,0.25428283602545854,0.0030611220969037974
blur-light,10,0.286,0.6174206414579094,0.27407839756031166,0.0,0.0,0.0,0.2752,0.004541169697580377,0.587251051165711,0.005893395407705703,0.25562908020036834,0.002438017638820903,0.24369999999999997,0.008499019551297273,0.5748649339876476,0.011312735866606284,0.2535735424929831,0.0033175422827218257
blur-light,20,0.286,0.6174206414579094,0.27407839756031166,0.0,0.0,0.0,0.2753,0.005143496432929219,0.5890499356217138,0.00788602757143954,0.2550932557296269,0.0024237637088946797,0.2424,0.008099382692526635,0.5781488733499754,0.011283575780173185,0.25341068729440697,0.002822094784327973
blur-light,30,0.286,0.6174206414579094,0.27407839756031166,0.0,0.0,0.0,0.27580000000000005,0.004022160834399565,0.588042137070475,0.0063049944672989916,0.25404805041554646,0.002252169218083425,0.24230000000000002,0.00821989456542276,0.5784550410820197,0.01217979103445606,0.2529984594083524,0.0030793279575301335
blur-light,50,0.286,0.6174206414579094,0.27407839756031166,0.0,0.0,0.0,0.2747,0.0046200048100023105,0.5902785468481689,0.007086719998972233,0.2533528935246906,0.002253558141549913,0.2428,0.008664102184685189,0.5804917205652229,0.01330521118132235,0.25318194219899637,0.0028995096610839027
blur-nosal,5,0.262,0.5571553808075326,0.23690448361158695,0.0,0.0,0.0,0.2638,0.002936362072739368,0.5385490453450086,0.004215279577491356,0.2262036483847468,0.002067042111594609,0.2465,0.005441609239104832,0.5214288397056603,0.008507549545934308,0.22993051891906693,0.0036339456199688458
blur-nosal,10,0.262,0.5571553808075326,0.23690448361158695,0.0,0.0,0.0,0.2655,0.0032403703492039334,0.5371793878986623,0.004745805705802739,0.226069906722861,0.0020282591727887986,0.24699999999999997,0.004496912521077351,0.5213249462344225,0.007280026628522553,0.22925381009886164,0.0035336578304040233
blur-nosal,20,0.262,0.5571553808075326,0.23690448361158695,0.0,0.0,0.0,0.2684,0.0033065591380366014,0.5356803080743434,0.004350218793748963,0.22632428836124802,0.0018137434324746013,0.24780000000000002,0.004638007234913627,0.5227045193720243,0.00737144200165598,0.228359232246809,0.003664756003274383
blur-nosal,30,0.262,0.5571553808075326,0.23690448361158695,0.0,0.0,0.0,0.2691,0.0032812599206199266,0.5367365266747767,0.005169065071320061,0.22579361869049408,0.0017841607612039247,0.24889999999999998,0.004629614814791115,0.5225187340714861,0.008028953322138908,0.22782494659050334,0.003835305854666878
blur-nosal,50,0.262,0.5571553808075326,0.23690448361158695,0.0,0.0,0.0,0.26860000000000006,0.003373096170846274,0.5389893554004533,0.004514492621336043,0.22599600515053617,0.0017691563541905686,0.2501,0.004067486256208431,0.5214548778384103,0.007225855071151898,0.22773480244945016,0.003527000341229993
blur-strong,5,0.264,0.5343367414492549,0.22078744142630097,0.0,0.0,0.0,0.2598,0.003966526608171608,0.5271892149377073,0.005258464301533909,0.21004268932249398,0.0012228766971135163,0.24769999999999998,0.006700746227100388,0.5201742175975689,0.008653180342238656,0.2062461139010186,0.0026584699527521845
blur-strong,10,0.264,0.5343367414492549,0.22078744142630097,0.0,0.0,0.0,0.26080000000000003,0.003457680661303987,0.5253654233973483,0.005034674592477212,0.2098558035061564,0.0013010624627629644,0.2474,0.006719788356455554,0.5201478691325565,0.009032425380409173,0.20557923343867204,0.0027401759522019827
blur-strong,20,0.264,0.5343367414492549,0.22078744142630097,0.0,0.0,0.0,0.261,0.004082482904638634,0.5237971142985691,0.006379559539037807,0.20970081780358502,0.0012168999269839443,0.2488,0.007099295739719545,0.5169978536404631,0.009320397283931888,0.2053129479702862,0.0025078429989309143
blur-strong,30,0.264,0.5343367414492549,0.22078744142630097,0.0,0.0,0.0,0.2617,0.003973523485382831,0.5218463469022669,0.005673555836464244,0.2096089052216577,0.0009699131352389,0.24769999999999998,0.007040359839288525,0.5181093858626478,0.00889697141825567,0.20488269763371955,0.0026032373947609956
blur-strong,50,0.264,0.5343367414492549,0.22078744142630097,0.0,0.0,0.0,0.2608,0.003910100879630718,0.5235205743701491,0.005566505689745157,0.20969062396683125,0.0010570913509953782,0.2481,0.0077524189773257295,0.5185756963676522,0.010142345418043482,0.20482303653938105,0.002430153135682808
cm-light,5,0.249,0.5668314170975044,0.25273756702218486,0.0,0.0,0.0,0.2344,0.0050155314330144005,0.5540958578442111,0.009188949872332652,0.22760828667872665,0.00235017096092891,0.1935,0.0064334196885396,0.5434215488210113,0.012058871685670491,0.23521516055641034,0.003972690657058752
