label,class_name,accuracy,mean_mask_area,std_mask_area,min_mask_area,max_mask_area,q05_mask_area,q95_mask_area,n_samples,mean_conf
995,earthstar,82.0,0.1783186254650354,0.0898868503348409,0.0258575193583965,0.3710712790489197,0.0437988275662064,0.32510764300823203,50,0.7142762809991836
547,electric_locomotive,80.0,0.2627509722486138,0.13504101584092715,0.0267626661807298,0.6803002953529358,0.08538029938936231,0.49337891936302164,50,0.7559899173676967
396,lionfish,80.0,0.3346319435723126,0.19258092174807756,0.0083076925948262,0.9863799810409546,0.0970148183405399,0.6009660661220548,50,0.7635047560930253
90,lorikeet,80.0,0.27529229309409853,0.1900005898077929,0.0185040328651666,0.789984405040741,0.04950685258954757,0.6539094477891921,50,0.731297033727169
255,Leonberg,80.0,0.3589230725169182,0.14148947695713526,0.0680320858955383,0.7179388999938965,0.08233067654073231,0.6110479831695556,50,0.6935044279694558
984,rapeseed,80.0,0.335528396833688,0.2307851657005476,0.0132426666095852,0.9511711597442628,0.03074316624552008,0.7372527748346327,50,0.7652149851620197
985,daisy,80.0,0.27251965571194886,0.2491947536920527,0.0089080464094877,0.9746549725532532,0.03525708019733424,0.8352301448583601,50,0.7473683224618435
645,maypole,80.0,0.031903929328545876,0.054101241928106766,0.0012550000101327,0.3425920009613037,0.0034562666201963504,0.10815573707222924,50,0.672932498306036
393,anemone_fish,80.0,0.10706287647131826,0.16227998146905284,0.003209434216842,0.974175989627838,0.0038132213056086954,0.35991220921277983,50,0.672118523567915
548,entertainment_center,80.0,0.48298719301819804,0.1975134481414824,0.0421850159764289,0.8262550234794617,0.16991630345582961,0.791243889927864,50,0.7012888523936271
323,monarch,78.0,0.14246468835044648,0.0963165303436475,0.001157333375886,0.3770490884780884,0.013830179721116964,0.3104932725429535,50,0.8116764360666275
321,admiral,78.0,0.1728190809488296,0.08492768802215989,0.02338133379817,0.3901272118091583,0.05901866704225537,0.29362393766641615,50,0.7351292341947555
576,gondola,78.0,0.07747475188691165,0.07853633356025487,0.0013973333407193,0.2995093464851379,0.01194428144954139,0.2510327152907848,50,0.7444555315375329
83,prairie_chicken,78.0,0.1312983476091176,0.10437626510842868,0.0076855034567415,0.5077173113822937,0.012346917996182975,0.28804051280021653,50,0.6663832040131092
900,water_tower,78.0,0.2083263596333563,0.1449202939553505,0.0140479998663067,0.6429706811904907,0.031060500442981705,0.4349942877888678,50,0.7185436722636223
993,gyromitra,78.0,0.22324859268963335,0.10534934663773106,0.0461546666920185,0.4731855988502502,0.07235413342714307,0.4085014253854752,50,0.6480521413683892
466,bullet_train,78.0,0.19063456583768126,0.11077121101006254,0.0239413324743509,0.484058678150177,0.04812479931861155,0.37481706291437145,50,0.7125464507937431
716,picket_fence,78.0,0.2853016438707709,0.16099740693767856,0.0287786666303873,0.7855329513549805,0.0713421501219272,0.6016205728054046,50,0.6776888394355773
679,necklace,78.0,0.1574111115554933,0.1379332989528793,0.0,0.5101040005683899,0.0,0.4570561990141867,50,0.6304202049970626
145,king_penguin,78.0,0.14780320283025497,0.1603635004265245,0.0055999998003244,0.7795265913009644,0.009504000120796191,0.43791161775588955,50,0.6773157723248004
746,puck,78.0,0.13285788581400987,0.2352049578662226,0.0001176470614154,0.712216854095459,0.000268115249491485,0.6423772215843199,50,0.7260358837991953
148,killer_whale,78.0,0.07595850822981443,0.09730408923746994,0.0023422460071742,0.382176011800766,0.004676898615434711,0.3260194584727287,50,0.610060092061758
800,slot,78.0,0.011696311054984055,0.04200035855757906,0.0001226666645379,0.2934933304786682,0.00035786665830522005,0.037649066187441294,50,0.7254674223065376
95,jacamar,76.0,0.14859221193939443,0.08274774631806289,0.0084946695715188,0.3570141494274139,0.03214151235297319,0.2842424631118774,50,0.6605288979411125
325,sulphur_butterfly,76.0,0.15776755716651675,0.08644785380225069,0.0157493334263563,0.3298949897289276,0.04249558262526981,0.30994052141904826,50,0.7551047323644161
713,photocopier,76.0,0.5661933037638665,0.16473311411023106,0.1192714273929596,0.8588144779205322,0.3418093502521515,0.7858282506465911,50,0.5821603281795978
701,parachute,76.0,0.11156160532031205,0.12636798461988222,0.0007413333514705,0.7023573517799377,0.00245916270650916,0.3004144221544265,50,0.7177697269618512
24,great_grey_owl,76.0,0.367945196274668,0.2552500110101586,0.0119249997660517,0.9830705523490906,0.053908900357782785,0.8318728715181349,50,0.6855117577314377
668,mosque,76.0,0.2536776117235422,0.1592871838301035,0.0321157909929752,0.6156810522079468,0.0762361761182546,0.5683189272880553,50,0.6383706344664097
